XF,transcript_id,difference,uncertainty,stat,pval,padj,avg_coverage
CDKAL1,NM_017774.3,0.42771890258396295,0.2964338026489611,1.4428816780064404,0.14905380527319417,0.7680356358456353,2.0302553696863166
CDKAL1,XM_017010986.2,-0.14897731089001912,0.22990667355315478,-0.6479903718652835,0.5169911776204592,0.9805808749412689,1.6950608967021972
CDKAL1,XM_047418956.1,-0.016932823352332357,0.2650433687166661,-0.06388699115288451,0.9490602106738266,0.9997299078530111,1.5584186495255694
CDKN1A,NM_000389.5,0.3117072192671071,0.16195038539379122,1.9247081043319159,0.054265886040329864,0.5262528948562222,2.445978557659841
CDKN1A,NM_001220778.2,-0.0811497128217239,0.4244779584899588,-0.1911753277140856,0.8483882327372058,0.9993725792412848,1.3434225369480994
CENPQ,NM_018132.4,0.30235706654879796,0.285274269561362,1.059882011138623,0.28919828045038815,0.9131326649389431,1.604475647378114
CENPQ,XM_005249205.2,0.47998072622779436,0.3070789774162644,1.5630530304168333,0.11804012204635973,0.7680356358456353,1.5112461979358272
CILK1,NM_014920.5,0.47069703009898267,0.21775273488274433,2.161612483776353,0.03064805840089126,0.39193688832886936,2.1534987224570616
CLIC1,NM_001288.6_7,0.4378658642579256,0.18873799502074515,2.3199667041593695,0.020342678585431782,0.3162513368153592,2.735359689704869
CMTR1,NM_015050.3,-0.2599560359216033,0.19986650791730945,-1.3006483108673448,0.19337886255502407,0.8022487180591629,2.655518951476542
CSNK2B,NM_001320.7_7,-0.046775978443511335,0.28852602272609223,-0.1621204839742216,0.8712109757009003,0.9997043582906195,2.6155907018000595
CUL7,NM_001374872.1,-0.9294660182294114,0.32272538493411085,-2.880052396309561,0.0039760908612745316,0.11843070636796282,2.006226948213545
CUL7,NM_001374873.1,0.07494840350854082,0.4065110292817051,0.18436991399956057,0.8537232703611419,0.9997043582906195,1.6207556978444477
CUL7,NM_014780.5,-0.601604480809018,0.2595924096182577,-2.3174964233110837,0.020476705261426136,0.3162513368153592,2.3345072834934157
CUL9,XM_017010589.2,-0.4216177808802877,0.32906632074116754,-1.281254732877747,0.20010420709352592,0.8022487180591629,1.8577948730862222
CUTA,NM_001014838.2_2,-0.1510176223243156,0.5622681942933814,-0.2685864572405768,0.788247935028302,0.9888412045606825,1.5064708859531457
CUTA,NM_001014840.2_2,-0.03790039578379201,0.4232028546136709,-0.08955609672905003,0.9286399738883818,0.9997299078530111,2.0318407492636377
CUTA,NM_015921.3_2,0.4042742916727269,0.37362947573550304,1.0820192675561755,0.27924396658778533,0.9043892313283526,1.9946068509022463
DAAM2,NM_001201427.2,0.00734807010840588,0.3958455264177458,0.018562973730947955,0.9851897404254373,0.9997299078530111,1.7135455428776036
DAXX,NM_001141969.2_5,0.47456857858366885,0.24965296130754894,1.9009130758879524,0.05731339909023765,0.5285055502977218,2.0110138896890284
DAXX,NM_001350.5_5,-0.3832890080559893,0.3732635222213059,-1.026859002387968,0.30448686158853566,0.9137263901847296,1.5314923812091252
DCDC2,NM_016356.5,0.28300041023140166,0.2756864079274734,1.0265301519901278,0.30464175863807513,0.9137263901847296,2.062021461604904
DDAH2,NM_013974.3_7,0.25942651700889874,0.49539136333178885,0.523679935120604,0.600501173650448,0.9805808749412689,1.4576252579263258
DEK,NM_001134709.2,0.0589411853545182,0.3043044115444316,0.19369152440273504,0.8464174287151462,0.9993725792412848,1.732275221257413
DEK,NM_003472.4,0.3053128841611159,0.12254794649610543,2.4913749507081193,0.012724975200847439,0.24119612085242645,3.0419706629289873
DEK,XM_047419335.1,-0.057569258658394906,0.3633446546891496,-0.1584425638727143,0.8741080762243622,0.9997043582906195,1.8358424052002578
DHX16,NM_001164239.2_8,-0.4946752820569189,0.337704072647769,-1.4648188225223848,0.14297035509137518,0.7680356358456353,1.9850907954229375
DHX16,NM_001363515.2_8,-0.21895822291523337,0.5650670118681076,-0.3874907193597429,0.6983929542301761,0.9878880037402346,1.250665905194421
DHX16,NM_003587.5_8,0.1838845341087234,0.23253613228866463,0.7907783289370861,0.42907335810863195,0.9805808749412689,2.5271921620835776
DHX16,XM_011514938.3,-0.4917335916118656,0.37889581023704966,-1.29780688602553,0.19435370280629533,0.8022487180591629,1.4081858042911104
DNPH1,NM_006443.3,0.22439760970753397,0.47303759650360827,0.4743758453157587,0.6352319146664034,0.9805808749412689,1.8788802594978744
DNPH1,NM_199184.2,-0.20986885688763324,0.43780142473665595,-0.47936997238844636,0.6316754513683092,0.9805808749412689,1.677261977172
DST,NM_001144770.2,-0.061472538500029206,0.2626585625382229,-0.23403972787326716,0.8149541366125733,0.992455575224126,2.290239101782615
DST,NM_001374722.1,-0.2576154701768292,0.14364855980964789,-1.7933731498471097,0.0729132779173391,0.5847084017602002,2.9176973284801675
DST,NM_001386100.1,-0.4930909329653421,0.2507502702695415,-1.9664622193040866,0.049245242374669033,0.5008601480545606,2.297565307322442
DST,NM_001723.7,-0.07421369884394427,0.15536408467884608,-0.4776760278757591,0.6328808089423135,0.9805808749412689,2.193628337478927
DST,NM_183380.4,0.11193165761093438,0.171872257452095,0.6512491269402944,0.514885682342687,0.9805808749412689,3.0722832294642908
DXO,NM_005510.4_6,-0.3457738769890657,0.42490353869525954,-0.8137702925488094,0.4157765567105949,0.9805808749412689,1.6608468590546848
E2F3,NM_001949.5,-0.1739809739805899,0.1609705711255101,-1.080824729415512,0.27977508595049755,0.9043892313283526,2.2596644550142733
E2F3,XM_005248865.6,0.08303379940873043,0.23088767041127026,0.35962855556914713,0.7191249261544332,0.9888412045606825,1.8528152593534137
E2F3,XM_011514328.4,0.07602047536743689,0.10047375915029814,0.756620196261576,0.4492774380647257,0.9805808749412689,2.5421104431845087
E2F3,XM_017010330.2,-0.049338158100288965,0.18363177453404717,-0.26867985252269716,0.7881760572184177,0.9888412045606825,1.9241991914138592
EFHC1,NR_033327.2,-0.0775814946748421,0.2942186732322983,-0.263686508482037,0.7920214923819375,0.9888412045606825,1.8890254300845604
EHMT2,NM_006709.5_7,-0.11138967347862372,0.2713452665879825,-0.41050899792462786,0.6814326043085188,0.9878880037402346,2.340210271274681
